mkb_codes;name;frequency_visits;controlled_indicators;duration_observation;note
I10, I11, I12, I13, I14, I15;Болезни, характеризующиеся повышенным кровяным давлением;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Вес (индекс массы тела <2>), окружность талии, статус курения
артериальное давление <3>, частота сердечных сокращений <4>
скорость клубочковой фильтрации (не реже 1 раза в год)
холестерин-липопротеины низкой плотности <5> (не реже 1 раза в год)
альбуминурия в разовой порции мочи (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания по результатам электрокардиограммы <6> (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания по результатам эхокардиограммы <7> (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется при артериальной гипертензии 2 - 3 степени, за исключением артериальной гипертензии резистентной к медикаментозной терапии.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
I20, I21, I22, I23, I24, I25;Ишемическая болезнь сердца;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
скорость клубочковой фильтрации (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - международное нормализованное отношение <8> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ (не реже 1 раза в год)
отсутствие признаков ишемии миокарда по результатам нагрузочного тестирования у пациентов после применения высокотехнологичных методов лечения коронарных артерий (не реже 1 раза в 2 года)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется:
- после перенесенного инфаркта миокарда и его осложнения, а также после применения высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) по завершению диспансерного наблюдения у врача-кардиолога
- при стенокардии напряжения I - II функционального класса.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
Z95.1;Наличие аортокоронарного шунтового трансплантата;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
скорость клубочковой фильтрации (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - международное нормализованное отношение <8> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ (не реже 1 раза в год)
отсутствие признаков ишемии миокарда по результатам нагрузочного тестирования у пациентов после применения высокотехнологичных методов лечения коронарных артерий (не реже 1 раза в 2 года)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется:
- после перенесенного инфаркта миокарда и его осложнения, а также после применения высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) по завершению диспансерного наблюдения у врача-кардиолога
- при стенокардии напряжения I - II функционального класса.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
Z95.5;Наличие коронарного ангиопластического имплантата и трансплантата;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
скорость клубочковой фильтрации (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - международное нормализованное отношение <8> (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ (не реже 1 раза в год)
отсутствие признаков ишемии миокарда по результатам нагрузочного тестирования у пациентов после применения высокотехнологичных методов лечения коронарных артерий (не реже 1 раза в 2 года)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется:
- после перенесенного инфаркта миокарда и его осложнения, а также после применения высокотехнологичных методов лечения на коронарных артериях (чрескожное коронарное вмешательство и аортокоронарное и (или) маммарокоронарное шунтирование) по завершению диспансерного наблюдения у врача-кардиолога
- при стенокардии напряжения I - II функционального класса.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
I44, I45, I46, I47, I48, I49;"Предсердно-желудочковая [атриовентрикулярная] блокада и блокада левой ножки пучка [Гиса]
другие нарушения проводимости
остановка сердца
пароксизмальная тахикардия
фибрилляция и трепетание предсердий другие нарушения сердечного ритма";В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
скорость клубочковой фильтрации (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания и подтверждение эффективности антиаритмического лечения по данным мониторирования ЭКГ (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется при предсердной экстрасистолии, желудочковой экстрасистолии, наджелудочковой тахикардии, желудочковой тахикардии на фоне эффективной антиаритмической терапии.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
Z95.0;Наличие искусственного водителя сердечного ритма;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
скорость клубочковой фильтрации (не реже 1 раза в год)
ХС-ЛПНП (не реже 2 раз в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания и подтверждение эффективности антиаритмического лечения по данным мониторирования ЭКГ (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется при предсердной экстрасистолии, желудочковой экстрасистолии, наджелудочковой тахикардии, желудочковой тахикардии на фоне эффективной антиаритмической терапии.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
I50;Сердечная недостаточность;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
общетерапевтический биохимический анализ крови (с расчетом скорости клубочковой фильтрации (не реже 1 раза в год)
отсутствие снижения уровня эритроцитов, гемоглобина (не реже 1 раза в год)
пациентам при терапии варфарином - МНО (не реже 2 раз в год)
уровень N-концевого пропептида натрийуретического гормона (B-типа) (не реже 1 раза в 2 года)
отсутствие признаков прогрессирования заболевания по результатам ЭКГ (не реже 1 раз в год)
отсутствие признаков застоя в легких по данным рентгенографии органов грудной клетки (не реже 1 раза в год)
отсутствие признаков прогрессирования заболевания по результатам ЭхоКГ - фракция выброса левого желудочка (не реже 2 раз в год)
отсутствие жизнеугрожающих нарушений ритма сердца по данным мониторирования ЭКГ (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется при хронической сердечной недостаточности 1 - 2a стадии и I - II функционального класса по классификации Нью-Йоркской ассоциации сердца (NYHA, 1964) и фракцией выброса >= 40%, за исключением сочетания с сахарным диабетом и (или) хронической болезнью почек 4 и выше стадии.
Прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
I65.2;Закупорка и стеноз сонной артерии;В соответствии с клиническими рекомендациями, но не реже 2 раз в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
ХС-ЛПНП (не реже 2 раз в год)
уровень стеноза сонных артерий по данным ультразвукового допплеровского исследования сонных артерий (не реже 1 раза в год)";Пожизненно;Диспансерное наблюдение врачом-терапевтом осуществляется при стенозе внутренней сонной артерии от 40%, за исключением сочетания с ишемической болезнью сердца и симптомным атеросклеротическим поражением периферических артерий или артерий другого сосудистого русла
E78;Нарушения обмена липопротеинов и другие липидемии;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Вес (ИМТ), окружность талии, статус курения
АД, ЧСС
ХС-ЛПНП и триглицеридов (не реже 1 раза в год)
при терапии статинами - трансаминазы и креатинкиназы <9> (через 4 недели от начала терапии или при мышечных симптомах)
уровень стеноза сонных артерий по данным ультразвукового допплеровского исследования брахиоцефальных артерий - (не реже 1 раза в год)";Пожизненно;"Диспансерное наблюдение врачом-терапевтом осуществляется при гиперхолестеринемии, за исключением тяжелой дислипидемии (общий холестерин сыворотки > 8,0 ммоль/л и (или) ХС-ЛПНП > 5,0 ммоль/л и (или) триглицериды > 10 ммоль/л) и (или) подозрения на непереносимость гиполипидемической терапии ввиду развития побочных эффектов или недостаточной ее эффективности и (или) раннего анамнеза сердечно-сосудистых заболеваний (до 50 лет), в том числе после реваскуляризации вследствие атеросклеротического поражения сосудистого русла.
При гиперхолестеринемии (при уровне общего холестерина больше 8,0 ммоль/л - прием (осмотр, консультация) врача-кардиолога по медицинским показаниям"
R73.0, R73.9;Предиабет;В соответствии с клиническими рекомендациями, но не реже 1 раза в год;"Вес (ИМТ), окружность талии, статус курения
глюкоза плазмы натощак и через 2 часа после нагрузки";Пожизненно;Прием (осмотр, консультация) врача-эндокринолога (по медицинским показаниям)
